cord_uid,source_x,title,license,abstract,publish_time,authors,journal,publish_year,abstract_word_count
e067cg5q,PMC,Emerging and Reemerging Infectious Diseases: Biocomplexity as an Interdisciplinary Paradigm,no-cc,"Understanding factors responsible for reemergence of diseases believed to have been controlled and outbreaks of previously unknown infectious diseases is one of the most difficult scientific problems facing society today. Significant knowledge gaps exist for even the most studied emerging infectious diseases. Coupled with failures in the response to the resurgence of infectious diseases, this lack of information is embedded in a simplistic view of pathogens and disconnected from a social and ecological context, and assumes a linear response of pathogens to environmental change. In fact, the natural reservoirs and transmission rates of most emerging infectious diseases primarily are affected by environmental factors, such as seasonality or meteorological events, typically producing nonlinear responses that are inherently unpredictable. A more realistic view of emerging infectious diseases requires a holistic perspective that incorporates social as well as physical, chemical, and biological dimensions of our planet’s systems. The notion of biocomplexity captures this depth and richness, and most importantly, the interactions of human and natural systems. This article provides a brief review and a synthesis of interdisciplinary approaches and insights employing the biocomplexity paradigm and offers a social–ecological approach for addressing and garnering an improved understanding of emerging infectious diseases. Drawing on findings from studies of cholera and other examples of emerging waterborne, zoonotic, and vectorborne diseases, a “blueprint” for the proposed interdisciplinary research framework is offered which integrates biological processes from the molecular level to that of communities and regional systems, incorporating public health infrastructure and climate aspects.",2005-10-31,"Wilcox, Bruce A.; Colwell, Rita R.",Ecohealth,2005.0,246
u8rlo0zw,PMC,Ebola in DR Congo: getting the job done,no-cc,No Abstract,2020-03-19,The Lancet,Lancet,2020.0,2
wtvfow2f,PMC,Unifying evolutionary and thermodynamic information for RNA folding of multiple alignments,cc-by-nc,"Computational methods for determining the secondary structure of RNA sequences from given alignments are currently either based on thermodynamic folding, compensatory base pair substitutions or both. However, there is currently no approach that combines both sources of information in a single optimization problem. Here, we present a model that formally integrates both the energy-based and evolution-based approaches to predict the folding of multiple aligned RNA sequences. We have implemented an extended version of Pfold that identifies base pairs that have high probabilities of being conserved and of being energetically favorable. The consensus structure is predicted using a maximum expected accuracy scoring scheme to smoothen the effect of incorrectly predicted base pairs. Parameter tuning revealed that the probability of base pairing has a higher impact on the RNA structure prediction than the corresponding probability of being single stranded. Furthermore, we found that structurally conserved RNA motifs are mostly supported by folding energies. Other problems (e.g. RNA-folding kinetics) may also benefit from employing the principles of the model we introduce. Our implementation, PETfold, was tested on a set of 46 well-curated Rfam families and its performance compared favorably to that of Pfold and RNAalifold.",2008-10-04,"Seemann, Stefan E.; Gorodkin, Jan; Backofen, Rolf",Nucleic Acids Res,2008.0,192
hecaox43,PMC,Editorial Expression of Concern: Experimental orthotopic transplantation of a tissue-engineered oesophagus in rats,cc-by,No Abstract,2016-10-14,"Sjöqvist, Sebastian; Jungebluth, Philipp; Lim, Mei Ling; Haag, Johannes C.; Gustafsson, Ylva; Lemon, Greg; Baiguera, Silvia; Burguillos, Miguel Angel; Del Gaudio, Costantino; Rodriguez, Antonio Beltran; Sotnichenko, Alexander; Kublickiene, Karolina; Ullman, Henrik; Kielstein, Heike; Damberg, Peter; Bianco, Alessandra; Heuchel, Rainer; Zhao, Ying; Ribatti, Domenico; Ibarra, Cristián; Joseph, Bertrand; Taylor, Doris A.; Macchiarini, Paolo",Nat Commun,2016.0,2
9qclu4oq,PMC,"European Respiratory Society: 15th Annual Congress of the European Respiratory Society; 17–21 September 2005; Copenhagen, Denmark",no-cc,No Abstract,2012-08-24,"Kitler, Mary Ellen",Unknown,2012.0,2
uovk5fsn,PMC,Zu Joggern 10 Meter Abstand einhalten!: COVID-19 und Sport,no-cc,"Wanderer, Läufer und Radfahrer sollten deutlich mehr als zwei Meter Abstand halten und den Windschatten anderer meiden, um sich vor einer Infektion zu schützen.",2020-04-30,js,MMW Fortschr Med,2020.0,24
542e5h1u,PMC,Coronavirus disease: challenges for psychiatry,cc-by,"Coronavirus disease (COVID-19) presents two urgent health problems: the illness caused by the virus itself and the anxiety, panic and psychological problems associated with the pandemic. Both problems present substantial challenges for our patients, their families, our multidisciplinary teams and our psychiatrist colleagues. We need good psychiatry, now more than ever.",2020-04-15,"Kelly, Brendan D.",Unknown,2020.0,51
p11oyt24,PMC,"‘Guarantee UK standards will be protected’, says RSPCA",no-cc,No Abstract,2020-07-11,Anonymous,Vet Rec,2020.0,2
usvz287e,PMC,Comprehensive Interactome Analysis Reveals that STT3B Is Required for N-Glycosylation of Lassa Virus Glycoprotein,cc-by,"Lassa virus (LASV) is the causative agent of a fatal hemorrhagic fever in humans. The glycoprotein (GP) of LASV mediates viral entry into host cells, and correct processing and modification of GP by host factors is a prerequisite for virus replication. Here, using an affinity purification-coupled mass spectrometry (AP-MS) strategy, 591 host proteins were identified as interactors of LASV GP. Gene ontology analysis was performed to functionally annotate these proteins, and the oligosaccharyltransferase (OST) complex was highly enriched. Functional studies conducted by using CRISPR-Cas9-mediated knockouts showed that STT3A and STT3B, the two catalytically active isoforms of the OST complex, are essential for the propagation of the recombinant arenavirus rLCMV/LASV glycoprotein precursor, mainly via affecting virus infectivity. Knockout of STT3B, but not STT3A, caused hypoglycosylation of LASV GP, indicating a preferential requirement of LASV for the STT3B-OST isoform. Furthermore, double knockout of magnesium transporter 1 (MAGT1) and tumor suppressor candidate 3 (TUSC3), two specific subunits of STT3B-OST, also caused hypoglycosylation of LASV GP and affected virus propagation. Site-directed mutagenesis analysis revealed that the oxidoreductase CXXC active-site motif of MAGT1 or TUSC3 is essential for the glycosylation of LASV GP. NGI-1, a small-molecule OST inhibitor, can effectively reduce virus infectivity without affecting cell viability. The STT3B-dependent N-glycosylation of GP is conserved among other arenaviruses, including both the Old World and New World groups. Our study provided a systematic view of LASV GP-host interactions and revealed the preferential requirement of STT3B for LASV GP N-glycosylation. IMPORTANCE Glycoproteins play vital roles in the arenavirus life cycle by facilitating virus entry and participating in the virus budding process. N-glycosylation of GPs is responsible for their proper functioning; however, little is known about the host factors on which the virus depends for this process. In this study, a comprehensive LASV GP interactome was characterized, and further study revealed that STT3B-dependent N-glycosylation was preferentially required by arenavirus GPs and critical for virus infectivity. The two specific thioredoxin subunits of STT3B-OST MAGT1 and TUSC3 were found to be essential for the N-glycosylation of viral GP. NGI-1, a small-molecule inhibitor of OST, also showed a robust inhibitory effect on arenavirus. Our study provides new insights into LASV GP-host interactions and extends the potential targets for the development of novel therapeutics against Lassa fever in the future.",2019-11-13,"Zhu, Shenglin; Wan, Weiwei; Zhang, Yanjun; Shang, Weijuan; Pan, Xiaoyan; Zhang, Lei-Ke; Xiao, Gengfu",J Virol,2019.0,377
w6sh9f3h,PMC,China’s Institutional Mechanisms for Influenza A (H1N1) Prevention and Control,no-cc,"Innovation in institutional mechanisms is a fundamental issue in effectively dealing with public health emergencies. In the wake of the 2003 SARS Epidemic, China initially established a public health emergency management system and an emergency organization and management network, placing emphasis on “government leading, unified command, local management, responsibility on all levels, management by classifications, and inter-departmental coordination,” which strengthened the existing health emergency preparation system.",2018-11-24,"Xue, Lan; Zeng, Guang",A Comprehensive Evaluation on Emergency Response in China,2018.0,66
